Well_ID,S.No,State,District,Taluka,Site,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality_New
W210600071350001,40,Gujarat,Amreli,Rajula,Mandal,21.099438,71.57929,2020,7.9,1976.0,0,376.0,101.0,123.0,459.99999999999994,68.0,71.0,268.0,3.9,0.59,1324.0,Moderate
W212300071280001,41,Gujarat,Amreli,Kundla- Savar,Piyava,21.379547,71.460227,2020,8.2,1260.0,0,78.0,20.0,33.0,220.0,28.0,36.0,220.0,0.37,0.39,844.0000000000001,Excellent
W224249073073601,42,Gujarat,Anand,Umreth,Parvata,22.69103,73.08475,2020,8.3,1148.0,36,71.0,76.0,6.9,420.0,40.0,78.0,96.0,1.9,0.9300000000000002,769.0,Good
W222120072535001,43,Gujarat,Anand,Borsad,Bhadran,22.38454,72.90141,2020,7.9,635.0,0,35.0,20.0,0.33,270.0,64.0,27.0,32.0,1.3,0.28,425.0,Excellent
W222045072500001,44,Gujarat,Anand,Borsad,Ras,22.35408,72.83599,2020,8.1,1442.0,0,149.0,25.0,16.0,160.0,28.0,22.0,284.0,8.5,4.5,966.0,Excellent
W221630072460001,45,Gujarat,Anand,Cambay,Dali,22.28326,72.76283,2020,8.2,3721.0,0,808.0,154.00000000000003,12.0,550.0,80.0,85.0,605.0,21.0,3.4,2493.0,Poor
W205212071030401,46,Gujarat,Anand,Cambay,Kansari,22.34061,72.65247,2020,8.2,4565.0,0,1035.0,262.0,46.0,590.0,88.00000000000001,90.0,784.0,10.0,1.6,3059.0,Poor
W222515072474001,47,Gujarat,Anand,Petlad,Dharmaj,22.42085,72.78762,2020,9.2,2488.0,180,262.0,154.00000000000003,79.0,210.0,12.0,44.0,498.00000000000006,0.13,2.2,1667.0,Moderate
W223230072490001,48,Gujarat,Anand,Petlad,Bandhani,22.53747,72.81231,2020,8.5,1834.0,36,106.0,38.0,28.0,130.0,8.0,27.0,408.00000000000006,0.56,2.3,1229.0,Good
W234010073102501,49,Gujarat,Aravalli,Bhiloda,Punasan,23.664824,73.171211,2020,7.9,810.0,0,64.0,90.00000000000001,36.0,250.0,72.0,17.0,77.0,0.48999999999999994,1.7500000000000002,543.0000000000001,Excellent
W234110073220001,50,Gujarat,Aravalli,Bhiloda,Shamlaji,23.682976,73.368317,2020,8.0,501.0,0,50.0,15.0,3.0,110.0,36.0,4.9,70.0,0.8499999999999999,0.51,336.0,Excellent
W232911073235501,51,Gujarat,Aravalli,Modasa,Seenawad,23.476337,73.395622,2020,7.4,1427.0,0,227.0,100.0,109.0,500.0,144.0,34.0,97.0,11.5,0.46,956.0000000000001,Good
W232430073273001,52,Gujarat,Aravalli,Malpur,Hamirpur,23.406389,73.460693,2020,7.5,1509.0,0,256.0,132.0,85.0,480.0,144.0,29.0,125.0,0.99,0.63,1011.0,Moderate
W232041073275201,53,Gujarat,Aravalli,Malpur,Malpur_1,23.371466,73.455574,2020,7.6,807.0,0,64.0,11.0,106.00000000000001,350.0,76.0,39.0,26.0,0.42,0.72,541.0,Good
W231030073201501,54,Gujarat,Aravalli,Bayad,Sathamba,23.173384,73.330353,2020,7.9,918.0,0,43.0,90.00000000000001,18.0,330.0,56.0,46.0,57.99999999999999,1.6000000000000003,0.74,615.0000000000001,Excellent
W230730073123001,55,Gujarat,Aravalli,Bayad,Boral,23.129101,73.215118,2020,7.7,3142.0,0,824.0,77.00000000000001,125.0,820.0,304.0,15.0,398.0,1.1,0.49,2105.0,Poor
W232000073180001,56,Gujarat,Aravalli,Dhansura,Karanpur,23.332365,73.326927,2020,7.8,682.0,0,99.0,90.00000000000001,38.0,220.0,56.0,19.0,60.0,0.4000000000000001,0.72,457.0,Excellent
W232100073120001,57,Gujarat,Aravalli,Dhansura,Dhansura,23.347195,73.19944,2020,7.8,1350.0,0,156.0,84.99999999999999,74.0,520.0,168.0,24.0,69.0,0.55,0.47,905.0000000000001,Moderate
W242420072383001,58,Gujarat,Banaskantha,Amirgadh,Amirgadh,24.40092,72.647685,2020,7.0,3275.0,0,709.0,116.0,125.0,971.0,140.0,151.0,330.0,3.1,0.78,2194.0,Poor
W243145071323001,59,Gujarat,Banaskantha,Tharad,Bharol1,24.528819,71.538582,2020,7.1,825.0,0,78.0,17.0,5.3,300.0,76.0,27.0,40.0,52.0,0.64,553.0,Good
W241120072453801,60,Gujarat,Banaskantha,Dantiwada,Dantiwada,24.315154,72.325611,2020,7.0,620.0,0,50.0,17.0,30.0,270.0,80.0,17.0,33.0,1.1,0.42,415.0,Good
W241750072565001,61,Gujarat,Banaskantha,Data,Ganapipli,24.293518,72.946728,2020,7.1,918.0,0,78.0,39.0,33.0,330.0,76.0,34.0,81.0,2.0,2.1,615.0000000000001,Good
W242610072215501,62,Gujarat,Banaskantha,Dantiwada,Gangodra,24.439293,72.364594,2020,7.1,3494.0,0,709.0,144.0,0.96,861.0,204.0,85.0,335.00000000000006,19.0,3.5000000000000004,2341.0,Poor
W242045072321501,63,Gujarat,Banaskantha,Amirgadh,Iqbalgarh,24.344959,72.546526,2020,7.4,810.0,0,57.0,23.0,54.0,330.0,76.0,34.0,45.0,1.0,0.58,543.0000000000001,Good
W242915072211001,64,Gujarat,Banaskantha,Dantiwada,Jhat,24.486668,72.351128,2020,7.7,2000.0,0,355.0,137.0,0.24,180.0,28.0,27.0,375.0,4.2,1.6,1340.0,Good
W243930071460001,65,Gujarat,Banaskantha,Tharad,Khoda,24.656703,71.770809,2020,7.7,1575.0,0,177.0,107.0,22.0,130.0,20.0,19.0,320.0,13.0,1.9,1055.0,Good
W241000072434001,66,Gujarat,Banaskantha,Data,Mohabbat gadh,24.155737,72.704379,2020,7.2,1488.0,0,262.0,68.0,73.0,480.0,156.0,22.0,110.0,3.6,1.3,997.0,Moderate
W241140072260001,67,Gujarat,Banaskantha,Palanpur2,Palanpur2,24.19947,72.438385,2020,7.5,1579.0,0,248.0,67.0,102.99999999999999,380.0,76.0,46.0,210.0,0.7,0.8,1058.0,Moderate
W241030072444501,68,Gujarat,Banaskantha,Data,Ratanpur2,24.178544,72.748301,2020,7.1,1480.0,0,233.97,93.0,155.0,560.0,188.0,22.0,95.00000000000001,2.5,0.39,992.0,Moderate
W242405072174501,69,Gujarat,Banaskantha,Dantiwada,Sodapur,24.402684,72.296812,2020,7.5,915.0,0,78.0,38.0,19.0,160.0,32.0,19.0,158.0,2.8,2.2,613.0000000000001,Excellent
W220107072454701,70,Gujarat,Bharuch,Jambusar,Kalak1,22.02898,72.764289,2020,7.0,835.0,0,64.0,24.0,15.0,250.0,80.0,12.0,60.0,36.0,1.5,559.0,Good
W215930072403001,71,Gujarat,Bharuch,Jambusar,Tankari,21.988148,72.669387,2020,7.9,4492.0,0,908.0,227.0,13.0,891.0,96.0,158.0,544.0,113.0,0.66,3010.0,Poor
W220137072381001,72,Gujarat,Bharuch,Jambusar,Sindhav,22.030494,72.610604,2020,8.0,567.0,0,35.0,18.0,1.4000000000000001,140.0,32.0,15.0,66.0,14.0,0.34,380.0,Excellent
W220736072401101,73,Gujarat,Bharuch,Jambusar,Chhindra,22.101552,72.5953,2020,7.8,850.0,0,64.0,31.000000000000004,21.0,270.0,64.0,27.0,59.0,55.0,0.42,570.0000000000001,Excellent
W221105072355001,74,Gujarat,Bharuch,Jambusar,Dahegam,22.18782,72.591482,2020,7.8,1644.0,0,213.0,84.99999999999999,61.0,500.0,96.0,63.00000000000001,133.0,49.0,0.19,1101.0,Moderate
W221137072382201,75,Gujarat,Bharuch,Jambusar,Kavi,22.195247,72.63669,2020,8.2,2962.0,0,312.0,156.99999999999997,121.0,280.0,40.0,44.0,190.00000000000003,510.0,0.39,1985.0,Moderate
