"Well_ID","S.No","","State","District","Taluka","","Site","Latitude","Longitude","Year","pH","EC","CO3","HCO3","Cl","SO4","NO3","PO4","TH","Ca","Mg","Na","K","F","TDS","SiO2"
"W242045072321501","63","Gujarat","","Banaskantha","Amirgadh","Iqbalgarh","","24.344959","72.546526","2020","7.4","810","0","329","57","23","54","","330","76","34","45","1.0","0.58","543",""
"W242915072211001","64","Gujarat","","Banaskantha","Dantiwada","Jhat","","24.486668","72.351128","2020","7.7","2000","0","476","355","137","0.24","","180","28","27","375","4.2","1.6","1340",""
"W243930071460001","65","Gujarat","","Banaskantha","Tharad","Khoda","","24.656703","71.770809","2020","7.7","1575","0","573","177","107","22","","130","20","19","320","13","1.9","1055",""
"W241000072434001","66","Gujarat","","Banaskantha","Data","Mohabbat gadh","","24.155737","72.704379","2020","7.2","1488","0","305","262","68","73","","480","156","22","110","3.60","1.3","997",""
"W241140072260001","67","Gujarat","","Banaskantha","Palanpur2","Palanpur2","","24.19947","72.438385","2020","7.5","1579","0","427","248","67","103","","380","76","46","210","0.70","0.80","1058",""
"W241030072444501","68","Gujarat","","Banaskantha","Data","Ratanpur2","","24.178544","72.748301","2020","7.1","1480","0","268","233.97","93","155","","560","188","22","95","2.5","0.39","992",""
"W242405072174501","69","Gujarat","","Banaskantha","Dantiwada","Sodapur","","24.402684","72.296812","2020","7.5","915","0","403","78","38","19","","160","32","19","158","2.8","2.2","613",""
"W220107072454701","70","Gujarat","","Bharuch","Jambusar","Kalak1","","22.02898","72.764289","2020","7.0","835","0","354","64","24","15","","250","80","12","60","36","1.5","559",""
"W215930072403001","71","Gujarat","","Bharuch","Jambusar","Tankari","","21.988148","72.669387","2020","7.9","4492","0","879","908","227","13","","891","96","158","544","113","0.66","3010",""
"W220137072381001","72","Gujarat","","Bharuch","Jambusar","Sindhav","","22.030494","72.610604","2020","8.0","567","0","268","35","18","1.4","","140","32","15","66","14","0.34","380",""
